monster_id,new_name,old_name,new_has_drop,old_has_drop,action,reason
5066,山犬,山犬,1,1,new_drop_kept,new monster row already has DropItem
5067,狂猴,狂猴,1,1,new_drop_kept,new monster row already has DropItem
5068,野豬,野豬,1,1,new_drop_kept,new monster row already has DropItem
5069,蟾蜍,蟾蜍,1,1,new_drop_kept,new monster row already has DropItem
5070,蜘蛛,蜘蛛,1,1,new_drop_kept,new monster row already has DropItem
5064,大蟾蜍,大蟾蜍,1,1,new_drop_kept,new monster row already has DropItem
5065,大蜘蛛,大蜘蛛,1,1,new_drop_kept,new monster row already has DropItem
5061,大山犬,大山犬,1,1,new_drop_kept,new monster row already has DropItem
5062,大狂猴,大狂猴,1,1,new_drop_kept,new monster row already has DropItem
5063,大野豬,大野豬,1,1,new_drop_kept,new monster row already has DropItem
5001,惡犬,惡犬,1,1,new_drop_kept,new monster row already has DropItem
5017,巨蟾蜍,巨蟾蜍,1,1,new_drop_kept,new monster row already has DropItem
5021,巨蜘蛛,巨蜘蛛,1,1,new_drop_kept,new monster row already has DropItem
5010,山豬,山豬,1,1,new_drop_kept,new monster row already has DropItem
5012,黑狂猴,黑狂猴,1,1,new_drop_kept,new monster row already has DropItem
5002,狂犬,狂犬,1,1,new_drop_kept,new monster row already has DropItem
5049,小夜叉奴隸,小夜叉奴隸,1,1,new_drop_kept,new monster row already has DropItem
5018,火蟾蜍,火蟾蜍,1,1,new_drop_kept,new monster row already has DropItem
5019,冰蟾蜍,冰蟾蜍,1,1,new_drop_kept,new monster row already has DropItem
5020,毒蟾蜍,毒蟾蜍,1,1,new_drop_kept,new monster row already has DropItem
5003,屍犬,屍犬,1,1,new_drop_kept,new monster row already has DropItem
5005,野狼,野狼,1,1,new_drop_kept,new monster row already has DropItem
5039,殭屍,殭屍,1,1,new_drop_kept,new monster row already has DropItem
5033,飛賊,飛賊,1,1,new_drop_kept,new monster row already has DropItem
5034,山賊,山賊,1,1,new_drop_kept,new monster row already has DropItem
5022,斑紋蜘蛛,斑紋蜘蛛,1,1,new_drop_kept,new monster row already has DropItem
5050,小夜叉士兵,小夜叉士兵,1,1,new_drop_kept,new monster row already has DropItem
5051,小夜叉飛斧手,小夜叉飛斧手,1,1,new_drop_kept,new monster row already has DropItem
5037,遊魂,遊魂,1,1,new_drop_kept,new monster row already has DropItem
5040,血屍,血屍,1,1,new_drop_kept,new monster row already has DropItem
5006,雪狼,雪狼,1,1,new_drop_kept,new monster row already has DropItem
5013,狂猴王,狂猴王,1,1,new_drop_kept,new monster row already has DropItem
5041,毒殭屍,毒殭屍,1,1,new_drop_kept,new monster row already has DropItem
5052,夜叉長矛手,夜叉長矛手,1,1,new_drop_kept,new monster row already has DropItem
5053,夜叉刀斧手,夜叉刀斧手,1,1,new_drop_kept,new monster row already has DropItem
5025,石怪,石怪,1,1,new_drop_kept,new monster row already has DropItem
5026,樹精,樹精,1,1,new_drop_kept,new monster row already has DropItem
5027,水鬼,水鬼,1,1,new_drop_kept,new monster row already has DropItem
5028,火妖,火妖,1,1,new_drop_kept,new monster row already has DropItem
5011,大山豬,大山豬,1,1,new_drop_kept,new monster row already has DropItem
5004,幽冥犬,幽冥犬,1,1,new_drop_kept,new monster row already has DropItem
5007,劍齒狼,劍齒狼,1,1,new_drop_kept,new monster row already has DropItem
5015,紅毛巨猿,紅毛巨猿,1,1,new_drop_kept,new monster row already has DropItem
5014,白毛巨猿,白毛巨猿,1,1,new_drop_kept,new monster row already has DropItem
5023,鬼面蜘蛛,鬼面蜘蛛,1,1,new_drop_kept,new monster row already has DropItem
5030,骷髏士兵,骷髏士兵,1,1,new_drop_kept,new monster row already has DropItem
5031,骷髏弓手,骷髏弓手,1,1,new_drop_kept,new monster row already has DropItem
